thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
29,0,29,[np.float64(-0.03194444444444444)],[np.float64(0.17916666666666667)],[1],[0],[0],[1.4219177000049967],['Target'],29,0,29,0,49.53748279999127,,5,49.51784250000492,49.53748279999127,49.53748279999127,0.010233599998173304,50.93991240000469,[np.float64(-0.03194444444444444)],[np.float64(0.17916666666666667)],[1],[0],[0],[1.4219177000049967],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
30,0,30,"[np.float64(0.29305555555555557), np.float64(0.3138888888888889)]","[np.float64(-0.3486111111111111), np.float64(-0.34444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[2.4799217999971006, 3.3473113999934867]","[None, 'Target']",30,0,30,0,50.9710167000012,,10,50.959474799994496,50.9710167000012,50.9710167000012,0.019480000002658926,54.30693179999071,"[np.float64(0.29305555555555557), np.float64(0.3138888888888889)]","[np.float64(-0.3486111111111111), np.float64(-0.34444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[2.4799217999971006, 3.3473113999934867]","[None, 'Target']",ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
31,0,31,[np.float64(0.2722222222222222)],[np.float64(0.23194444444444445)],[1],[0],[0],[1.4961294999957317],['Target'],31,0,31,0,54.33738529999391,,10,54.325345799996285,54.33738529999391,54.33738529999391,0.01826460000302177,55.8216126000043,[np.float64(0.2722222222222222)],[np.float64(0.23194444444444445)],[1],[0],[0],[1.4961294999957317],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
32,0,32,[np.float64(-0.018055555555555554)],[np.float64(-0.3416666666666667)],[1],[0],[0],[2.373411299995496],['Target'],32,0,32,0,55.85503449999669,,5,55.83221569999296,55.85503449999669,55.85503449999669,0.010493599998881109,58.205775900001754,[np.float64(-0.018055555555555554)],[np.float64(-0.3416666666666667)],[1],[0],[0],[2.373411299995496],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
33,0,33,[np.float64(0.3375)],[np.float64(0.4791666666666667)],[1],[0],[0],[2.561806700003217],['Target'],33,0,33,0,58.25431960000424,,10,58.226628599994,58.25431960000424,58.25431960000424,0.020760899991728365,60.788583999994444,[np.float64(0.3375)],[np.float64(0.4791666666666667)],[1],[0],[0],[2.561806700003217],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
34,0,34,[np.float64(0.09444444444444444)],[np.float64(-0.24027777777777778)],[1],[0],[0],[1.7583679999952437],['Target'],34,0,34,0,60.82041230000323,,5,60.79793430000427,60.82041230000323,60.82041230000323,0.009250599992810749,62.556434900005115,[np.float64(0.09444444444444444)],[np.float64(-0.24027777777777778)],[1],[0],[0],[1.7583679999952437],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
35,0,35,[np.float64(-0.08472222222222223)],[np.float64(0.13194444444444445)],[1],[0],[0],[1.3706630000087898],['Target'],35,0,35,0,62.58721660000447,,5,62.567357599997194,62.58721660000447,62.58721660000447,0.01084969998919405,63.93819020000228,[np.float64(-0.08472222222222223)],[np.float64(0.13194444444444445)],[1],[0],[0],[1.3706630000087898],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
36,0,36,[np.float64(0.04722222222222222)],[np.float64(-0.1736111111111111)],[1],[0],[0],[1.7652153999952134],['Target'],36,0,36,0,63.97035649999452,,10,63.95680529999663,63.97035649999452,63.97035649999452,0.018520300000091083,65.72215699999651,[np.float64(0.04722222222222222)],[np.float64(-0.1736111111111111)],[1],[0],[0],[1.7652153999952134],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
37,0,37,[np.float64(0.23055555555555557)],[np.float64(0.2625)],[1],[0],[0],[1.680292000004556],['Target'],37,0,37,0,65.75306550000096,,10,65.74056789999304,65.75306550000096,65.75306550000096,0.018291499989572912,67.42099139999482,[np.float64(0.23055555555555557)],[np.float64(0.2625)],[1],[0],[0],[1.680292000004556],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
38,0,38,[np.float64(-0.08888888888888889)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.347639799991157],['Target'],38,0,38,0,67.4523138999939,,10,67.43978669999342,67.4523138999939,67.4523138999939,0.018692799989366904,68.78757800000312,[np.float64(-0.08888888888888889)],[np.float64(-0.21388888888888888)],[1],[0],[0],[1.347639799991157],['Target'],ONE,001,2025-10-01_18h55.48.280,Visual Search Experiment,,2025.1.1,59.959191773962175,2025-10-01 18h55.57.285501 +0530,
