thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
134,0,134,[np.float64(0.4444444444444444)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.2322590000039781],['Target'],134,0,134,0,257.2082502,,5,257.1925954,257.2082502,257.2082502,0.0152333,258.42504,[np.float64(0.4444444444444444)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.2322590000039781],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
135,0,135,[np.float64(0.26944444444444443)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.2787278999967384],['Target'],135,0,135,0,258.4739933,,10,258.4470071,258.4739933,258.4739933,0.0218508,259.725902,[np.float64(0.26944444444444443)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.2787278999967384],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
136,0,136,[np.float64(0.059722222222222225)],[np.float64(0.13194444444444445)],[1],[0],[0],[1.2633907000054023],['Target'],136,0,136,0,259.7745403,,10,259.7460076,259.7745403,259.7745403,0.0199611,261.0095654,[np.float64(0.059722222222222225)],[np.float64(0.13194444444444445)],[1],[0],[0],[1.2633907000054023],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
137,0,137,[np.float64(0.10277777777777777)],[np.float64(-0.08333333333333333)],[1],[0],[0],[1.203912600001786],['Target'],137,0,137,0,261.0396599,,5,261.02041,261.0396599,261.0396599,0.0107254,262.2245088,[np.float64(0.10277777777777777)],[np.float64(-0.08333333333333333)],[1],[0],[0],[1.203912600001786],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
138,0,138,"[np.float64(-0.24861111111111112), np.float64(-0.2375)]","[np.float64(-0.11944444444444445), np.float64(-0.125)]","[1, 1]","[0, 0]","[0, 0]","[1.2240063999997801, 2.1400668999995105]","[None, 'Target']",138,0,138,0,262.2561878,,5,262.2344386,262.2561878,262.2561878,0.0098421,264.3746716,"[np.float64(-0.24861111111111112), np.float64(-0.2375)]","[np.float64(-0.11944444444444445), np.float64(-0.125)]","[1, 1]","[0, 0]","[0, 0]","[1.2240063999997801, 2.1400668999995105]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
139,0,139,[np.float64(0.09444444444444444)],[np.float64(0.20555555555555555)],[1],[0],[0],[1.5145285999969929],['Target'],139,0,139,0,264.4057778,,10,264.3934493,264.4057778,264.4057778,0.0186825,265.9081625,[np.float64(0.09444444444444444)],[np.float64(0.20555555555555555)],[1],[0],[0],[1.5145285999969929],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
140,0,140,[np.float64(0.11527777777777778)],[np.float64(-0.23194444444444445)],[1],[0],[0],[1.379601000000548],['Target'],140,0,140,0,265.9611221,,10,265.9290875,265.9611221,265.9611221,0.0207511,267.3088411,[np.float64(0.11527777777777778)],[np.float64(-0.23194444444444445)],[1],[0],[0],[1.379601000000548],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
141,0,141,[np.float64(0.37222222222222223)],[np.float64(0.4236111111111111)],[1],[0],[0],[1.8138401999967755],['Target'],141,0,141,0,267.3386378,,10,267.3278005,267.3386378,267.3386378,0.0188455,269.1417885,[np.float64(0.37222222222222223)],[np.float64(0.4236111111111111)],[1],[0],[0],[1.8138401999967755],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
142,0,142,"[np.float64(0.3819444444444444), np.float64(0.4)]","[np.float64(-0.1), np.float64(-0.0875)]","[1, 1]","[0, 0]","[0, 0]","[1.2204561000035028, 2.2362846000032732]","[None, 'Target']",142,0,142,0,269.1725261,,5,269.1536917,269.1725261,269.1725261,0.0117947,271.3901435,"[np.float64(0.3819444444444444), np.float64(0.4)]","[np.float64(-0.1), np.float64(-0.0875)]","[1, 1]","[0, 0]","[0, 0]","[1.2204561000035028, 2.2362846000032732]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
143,0,143,[np.float64(-0.07777777777777778)],[np.float64(-0.4625)],[1],[0],[0],[6.730748800000583],['Target'],143,0,143,0,271.4215748,,10,271.4096931,271.4215748,271.4215748,0.0194536,278.1406154,[np.float64(-0.07777777777777778)],[np.float64(-0.4625)],[1],[0],[0],[6.730748800000583],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
