thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
96,0,96,[np.float64(-0.3125)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.4204112000006717],['Target'],96,0,96,0,157.2665377999947,,5,157.24831629999971,157.2665377999947,157.2665377999947,0.010397699996246956,158.66887409999617,[np.float64(-0.3125)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.4204112000006717],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
97,0,97,[np.float64(-0.027777777777777776)],[np.float64(0.23055555555555557)],[1],[0],[0],[1.3509072000015294],['Target'],97,0,97,0,158.7008216999966,,10,158.68533949999983,158.7008216999966,158.7008216999966,0.01638719999755267,160.03639199999452,[np.float64(-0.027777777777777776)],[np.float64(0.23055555555555557)],[1],[0],[0],[1.3509072000015294],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
98,0,98,[np.float64(0.20555555555555555)],[np.float64(-0.3013888888888889)],[1],[0],[0],[1.987178600000334],['Target'],98,0,98,0,160.0666299999939,,5,160.04865319999953,160.0666299999939,160.0666299999939,0.0121482999966247,162.0360092999981,[np.float64(0.20555555555555555)],[np.float64(-0.3013888888888889)],[1],[0],[0],[1.987178600000334],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
99,0,99,[np.float64(0.28055555555555556)],[np.float64(-0.425)],[1],[0],[0],[1.9538707000028808],['Target'],99,0,99,0,162.06650489999447,,5,162.0474938999978,162.06650489999447,162.06650489999447,0.011398599999665748,164.0015069000001,[np.float64(0.28055555555555556)],[np.float64(-0.425)],[1],[0],[0],[1.9538707000028808],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
100,0,100,[np.float64(0.23333333333333334)],[np.float64(-0.45694444444444443)],[1],[0],[0],[1.9574034999968717],['Target'],100,0,100,0,164.03257199999643,,5,164.01144579999527,164.03257199999643,164.03257199999643,0.00985680000303546,165.96900059999462,[np.float64(0.23333333333333334)],[np.float64(-0.45694444444444443)],[1],[0],[0],[1.9574034999968717],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
101,0,101,[np.float64(0.21805555555555556)],[np.float64(0.32916666666666666)],[1],[0],[0],[1.601706199995533],['Target'],101,0,101,0,165.99981489999482,,5,165.9821656999993,165.99981489999482,165.99981489999482,0.013075399998342618,167.58408969999437,[np.float64(0.21805555555555556)],[np.float64(0.32916666666666666)],[1],[0],[0],[1.601706199995533],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
102,0,102,[np.float64(-0.07222222222222222)],[np.float64(0.2986111111111111)],[1],[0],[0],[1.142204399999173],['Target'],102,0,102,0,167.61618839999574,,5,167.59348939999472,167.61618839999574,167.61618839999574,0.009314799994172063,168.7358282999994,[np.float64(-0.07222222222222222)],[np.float64(0.2986111111111111)],[1],[0],[0],[1.142204399999173],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
103,0,103,[np.float64(0.37083333333333335)],[np.float64(0.24027777777777778)],[1],[0],[0],[1.229174600004626],['Target'],103,0,103,0,168.76553719999356,,10,168.75461469999573,168.76553719999356,168.76553719999356,0.018705599999520928,169.9839251999947,[np.float64(0.37083333333333335)],[np.float64(0.24027777777777778)],[1],[0],[0],[1.229174600004626],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
104,0,104,[np.float64(0.37083333333333335)],[np.float64(0.4722222222222222)],[1],[0],[0],[1.3658394000012777],['Target'],104,0,104,0,170.01558739999746,,10,170.00242059999437,170.01558739999746,170.01558739999746,0.018396700004814193,171.3683910999971,[np.float64(0.37083333333333335)],[np.float64(0.4722222222222222)],[1],[0],[0],[1.3658394000012777],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
105,0,105,[np.float64(-0.05416666666666667)],[np.float64(-0.38055555555555554)],[1],[0],[0],[1.657988099999784],['Target'],105,0,105,0,171.39874149999378,,5,171.37657219999528,171.39874149999378,171.39874149999378,0.008100099999865051,173.03471079999872,[np.float64(-0.05416666666666667)],[np.float64(-0.38055555555555554)],[1],[0],[0],[1.657988099999784],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
