reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,76,65,28,28,0,t,0.20957169999019243,None,0,28,28,20,35.790368199988734,,35.77717620000476,35.790368199988734,36.77369719999842,36.77369719999842,36.79046279998147,36.99086019999231,t,0.20957169999019243,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
15,35,13,29,29,0,t,0.0026058999937959015,None,0,29,29,1,37.00701800000388,,36.99471520000952,37.00701800000388,37.99060819999431,37.99060819999431,38.007150899997214,38.007717200001935,t,0.0026058999937959015,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
49,60,89,30,30,0,l,0.007164300011936575,None,0,30,30,4,38.02387549998821,,38.01028220000444,38.02387549998821,39.00719099998241,39.00719099998241,39.023799699993106,39.024554100004025,l,0.007164300011936575,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
26,52,11,31,31,0,l,0.2757286000123713,None,0,31,31,53,39.040123599988874,,39.02774429999408,39.040123599988874,40.023811399994884,40.023811399994884,40.04039459998603,40.3076882000023,l,0.2757286000123713,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
40,55,62,32,32,0,t,0.0013190000026952475,None,0,32,32,3,40.32347979999031,,40.310957999987295,40.32347979999031,41.30811519999406,41.30811519999406,41.32480569998734,41.32554900000105,t,0.0013190000026952475,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
94,145,170,33,33,0,t,0.021005799993872643,None,0,33,33,41,41.34159060000093,,41.33174560000771,41.34159060000093,42.34132109998609,42.34132109998609,42.34132109998609,42.37475160000031,t,0.021005799993872643,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
36,72,16,34,34,0,l,0.32283859999733977,None,0,34,34,58,42.39047819998814,,42.37857500000973,42.39047819998814,43.391212599992286,43.391212599992286,43.391212599992286,43.723469699994894,l,0.32283859999733977,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
28,56,12,35,35,0,l,0.05047049999120645,None,0,35,35,54,43.73996189999161,,43.72754469999927,43.73996189999161,44.723093999986304,44.723093999986304,44.73981500000809,44.79055800000788,l,0.05047049999120645,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
78,80,162,36,36,0,l,0.2105065000068862,None,0,36,36,6,44.80648130000918,,44.793294400005834,44.80648130000918,45.80621290000272,45.80621290000272,45.80621290000272,46.02329019998433,l,0.2105065000068862,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
64,88,95,37,37,0,t,0.07574870000826195,None,0,37,37,26,46.039545499981614,,46.02673809998669,46.039545499981614,47.022620900010224,47.022620900010224,47.039285100006964,47.106828599993605,t,0.07574870000826195,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
